edition,start_date,winner_name,winner_team,distance,time_overall,time_margin,stage_wins,stages_led,height,weight,age,born,died,full_name,nickname,birth_town,birth_country,nationality
1,1903-07-01,Maurice Garin,La Française,2428,94.5538888888889,2.98916666666667,3,6,1.62,60,32,1871-03-03,1957-02-19,,The Little Chimney-sweep,Arvier,Italy, France
2,1904-07-02,Henri Cornet,Conte,2428,96.0986111111111,2.27055555555556,1,3,,,19,1884-08-04,1941-03-18,,Le rigolo (The joker),Desvres,France, France
3,1905-07-09,Louis Trousselier,Peugeot–Wolber,2994,,,5,10,,,24,1881-06-29,1939-04-24,,Levaloy / Trou-trou,Paris,France, France
4,1906-07-04,René Pottier,Peugeot–Wolber,4637,,,5,12,,,27,1879-06-05,1907-01-25,,,Moret-sur-Loing,France, France
5,1907-07-08,Lucien Petit-Breton,Peugeot–Wolber,4488,,,2,5,,,24,1882-10-18,1917-12-20,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France
6,1908-07-13,Lucien Petit-Breton,Peugeot–Wolber,4497,,,5,13,,,25,1882-10-18,1917-12-20,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France
7,1909-07-05,François Faber,Alcyon–Dunlop,4498,,,6,13,1.78,88,22,1887-01-26,1915-05-09,,The giant of colombes,Aulnay-sur-Iton,France, Luxembourg
8,1910-07-01,Octave Lapize,Alcyon–Dunlop,4734,,,4,3,,,22,1887-10-24,1917-07-14,,,Paris,France, France
9,1911-07-02,Gustave Garrigou,Alcyon–Dunlop,5343,,,2,13,,,26,1884-09-24,1963-01-28,Cyprien Gustave Garrigou,,Vabres,France, France
10,1912-06-30,Odile Defraye,Alcyon–Dunlop,5289,,,3,13,,,23,1888-07-14,1965-08-21,,,Rumbeke,Belgium, Belgium
11,1913-06-29,Philippe Thys,Peugeot–Wolber,5287,197.9,0.135555555555556,1,8,,,23,1889-10-08,1971-01-16,,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
12,1914-06-28,Philippe Thys,Peugeot–Wolber,5380,200.48,0.016944444444445,1,15,,,24,1889-10-08,1971-01-16,,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
13,1919-06-29,Firmin Lambot,La Sportive,5560,231.120833333333,1.715,1,2,,,33,1886-03-14,1964-01-19,,,Florennes,Belgium, Belgium
14,1920-06-27,Philippe Thys,La Sportive,5503,228.603611111111,0.965833333333333,4,14,,,30,1889-10-08,1971-01-16,,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
15,1921-06-26,Léon Scieur,La Sportive,5485,221.840555555556,0.305,2,14,,,33,1888-03-18,1969-10-07,,,Florennes,Belgium, Belgium
16,1922-06-25,Firmin Lambot,Peugeot–Wolber,5375,222.135,0.694722222222222,0,3,,,36,1886-03-14,1964-01-19,,,Florennes,Belgium, Belgium
17,1923-06-24,Henri Pélissier,Automoto–Hutchinson,5386,222.258333333333,0.508333333333333,3,6,,,34,1889-01-22,1935-05-01,,,Paris,France, France
18,1924-06-22,Ottavio Bottecchia,Automoto,5425,226.305833333333,0.593055555555556,4,15,,,29,1894-08-01,1927-06-15,,,San Martino di Colle Umberto,Italy, Italy
19,1925-06-21,Ottavio Bottecchia,Automoto–Hutchinson,5440,219.171666666667,0.915,4,13,,,30,1894-08-01,1927-06-15,,,San Martino di Colle Umberto,Italy, Italy
20,1926-06-20,Lucien Buysse,Automoto–Hutchinson,5745,238.740277777778,1.37361111111111,2,8,,,33,1892-09-11,1980-01-03,,,Wontergem,Belgium, Belgium
